Title,Year,Doi,InvestigatorName,Field of research,Discipline,Type of project,Research question or aim,Did the authors define the type of reproducibility that is investigated?,Aspect of reproducibility investigated,"Even if defined by the authors, infer the aspect of reproducibility investigated",Did the authors measure reproducibility,Did they measure reproducibility using measures not in the previous list?,Paste description of each of the measures used,Did the paper refer to other papers for more information on the metric(s) used?,Paste the doi of all paper(s),Did the authors discuss limitations or assumptions of the metric(s) used?,Paste text on limitation/assumptions,"Did the authors discuss equity, diversity, and/or inclusion at any point?",Paste text on EDI dimension discussion
Same data different conclusions: Radical dispersion in empirical results when independent analysts operationalize and test the same hypothesis,2021,10.1016/j.obhdp.2021.02.003,Rachel Heyard,"Social Sciences and Humanities;STEM, e.g. Engineering, Mathematics, Physics",Interdisciplinary;Data science,"One Phenomenon, Many Studies [Comment: same dataset to test two hypotheses regarding the effects of scientists’ gender and professional status on verbosity during group meetings]",Our project examined whether independent analysts would arrive at similar analyses and statistical results using the same dataset to address these questions.,"False [Comment: No formal definition, but refer to variability]",NA,Same data - different analysis,"(1) Agreement in statistical significance [Comment: summarizes the number of analysts who obtained statistically significant support for the hypothesis, directional but non-significant support, directional results contrary to the hypothesis, and statistically significant results contrary to the initial prediction.](2) Agreement in effect size [Comment: by computing the z-score for each statistical result’s p-value]",True,to identify the extent of heterogeneity in researchers’ choices of analytic methods;Boba multiverse analysis,True,10.1109/TVCG.2020.3028985 [Comment: Boba multiverse analysis],False,NA,False,NA
Interaction effects in econometrics,2013,10.1007/s00181-012-0604-2,Helena Hartmann,Social Sciences and Humanities,Econometrics,"Many Phenomena, One Study",provide practical advice for applied economists regarding robust specification and interpretation of linear regression models with interaction terms;replicate a number of prominently published results using interaction effects and examine if they are robust to reasonable speciﬁcation permutations,False,NA,Same data - different analysis ;Different data - different analysis [Comment: at least that what it sounds like they are doing],Agreement in statistical significance [Comment: size and significance of the interactions],False,NA,False,NA,False,NA,False,NA
Interaction effects in econometrics,2013,10.1007/s00181-012-0604-2,Rachel Heyard,Social Sciences and Humanities,Econometrics,"Many Phenomena, One Study",We replicate a number of prominently published results using interaction effects and examine if they are robust to reasonable speciﬁcation permutations.,"False [Comment: No formal definition, but interested in robustness]",NA,"Same data - same analysis;Same data - different analysis [Comment: The same data was used, either directly from the source of the original paper, or they followed the steps/source outlined in the paper.]",None of the above,True,Robustness analysis robustness analysis with respect to the functional form should be standard when one uses non-linear speciﬁcations,False,NA,False,NA,False,NA
Multiple Perspectives on Inference for Two Simple Statistical Scenarios,2019,10.1080/00031305.2019.1565553,Joris Frese,Social Sciences and Humanities;Life Sciences,Interdisciplinary,"Many Phenomena, Many studies [Comment: 2 phenomena, 4 studies of each]","""When data analysts operate within different statistical frameworks (e.g., frequentist versus Bayesian, emphasis on estimation versus emphasis on testing), how does this impact the qualitative conclusions that are drawn for real data?"" (Abstract)",True,"""we selected from the literature two simple scenarios—involving a comparison of two proportions and a Pearson correlation—and asked four teams of statisticians to provide a concise analysis and a qualitative interpretation of the outcome"" (Abstract)",Same data - different analysis,Subjective assessment [Comment: All findings were deemed inconclusive],False,NA,False,NA,False,NA,False,NA
Multiple Perspectives on Inference for Two Simple Statistical Scenarios,2019,10.1080/00031305.2019.1565553,Rachel Heyard,"STEM, e.g. Engineering, Mathematics, Physics",Statistics,"Many Phenomena, Many studies","In addition to providing an empirical answer to the question “does it matter?”, we hope to highlight how the same dataset can give rise to rather different statistical treatments.",False [Comment: No definition - also they don't name the type of reproducibility],NA,Same data - different analysis,None of the above,True,"Comparison of the conclusions, qualitatively similar",False,NA,False,NA,False,NA
Systematic assessment of the replicability and generalizability of preclinical findings: Impact of protocol harmonization across laboratory sites,2022,10.1371/journal.pbio.3001886,Helena Hartmann,Life Sciences,Preclinical animal research,"One Phenomenon, Many Studies",assess the influence of protocol standardization between laboratories on their replicability of preclinical results;aimed to elucidate parameters that impact the replicability of preclinical animal studies.;determine whether harmonization of study protocols across laboratories improves the replicability of the results and whether replicability can be further improved by systematic variation (heterogenization) of 2 environmental factors (time of testing and light intensity during testing) within laboratories,True,ability to duplicate results from a previous scientific claim supported by new data,Different data - same analysis;Different data - different analysis [Comment: three levels of protocol harmonization],(1) Agreement in statistical significance(2) Agreement in effect size,False,NA,False,NA,False,NA,True,we could not confirm that diversifying the environmental conditions further reduces the variability across laboratories. The current selection of “heterogenizing” factors was rather limited by the feasibility to diversify them across all labs.;It also shows that it is possible to diversify the study sample by incorporating blocking factors like sex or introducing systematic heterogenization of conditions without the need to increase the overall sample size.
Systematic assessment of the replicability and generalizability of preclinical findings: Impact of protocol harmonization across laboratory sites,2022,10.1371/journal.pbio.3001886,Rachel Heyard,Life Sciences,Preclinical research,"One Phenomenon, Many Studies",to determine whether harmonization of study protocols across laboratories improves the replicability of the results and whether replicability can be further improved by systematic variation (heterogenization) of 2 environmental factors (time of testing and light intensity during testing) within laboratories,True,Defining results replicability as the ability to duplicate results from a previous scientific claim supported by new data [Comment: Replicability],Different data - same analysis,None of the above,True,Reduction in variability of results,False,NA,False,NA,False,NA
Many Analysts One Data Set: Making Transparent How Variations in Analytic Choices Affect Results,2018,10.1177/2515245917747646,Joris Frese,Social Sciences and Humanities,Psychology,"One Phenomenon, Many Studies","""Twenty-nine teams involving 61 analysts used the same data set to address the same research question: whether soccer referees are more likely to give red cards to dark-skin-toned players than to light-skin-toned players."" (Abstract)",True,"""Twenty-nine teams involving 61 analysts used the same data set to address the same research question"" (Abstract)",Same data - same analysis;Same data - different analysis,(1) Agreement in statistical significance(2) Agreement in effect size,False,NA,False,NA,True,""" number of significant limitations of the dataset were discussed during the project, and are worth further elaborating on. Given the correlational nature of the available field data, the present research cannot identify causal relationships between variables. Most teams observed a significant relationship between player skin tone and referee red card decisions, but this correlation could be driven by referee biases, player behavior (e.g., due to national differences in playing styles), or unmeasured third variables. Another major limitation is that data on explicit and implicit skin tone preferences (the focus of research questions 2a and 2b) were only available for referees’ country of origin, not for the individual referees themselves. Referees may or may not have skin tone preferences similar to those of the average person in their home country. This could be one reason why our analysis teams converged on the conclusion that skin tone preferences did not predict referee decisions, and that the dataset was not adequate to answer the question effectively (see S7). Another explanation, of course, is that neither explicit nor implicit attitudes exhibit significant predictive validity in this particular field context. To address these issues, it will be productive to directly measure the social attitudes of sports officials and examine whether these predict their judgments of players. More generally, to investigate the research questions more effectively, access to more detailed and fine-grained data would be ideal. The amount of time a player was on the pitch during the game, details of all other players playing that same match, whether the game was an international game or league game and if the latter in which league the game was played, as well as the importance of the particular game were all mentioned by analysts as information they would have liked to have included but that was not available."" (Supplement 9)",True,"""An important question is whether the variability in the analytic choices made and results found by the teams resulted from teams with the greatest statistical expertise making different choices than the other teams. A related question is whether teams whose members had more quantitative expertise showed greater convergence in their estimated effect sizes. To answer these questions, we dichotomized the teams into two groups using latent class analysis. The first group (n = 9) was more likely to have a team member who had a Ph.D. (100% vs. 53%), was a professor at a university (100% vs. 37%), had taught a graduate statistics course more than twice (100% vs. 0%), and had at least one methodological or statistical publication (78% vs. 47%)."" (p.350) [Comment: Not really EDI, but discussed seniority and previous publication success of replicators.]"
Many Analysts One Data Set: Making Transparent How Variations in Analytic Choices Affect Results,2018,10.1177/2515245917747646,Rachel Heyard,Social Sciences and Humanities,Psychology;Statistics,"One Phenomenon, Many Studies","In this article, we report an investigation that addressed the current lack of knowledge about how much diversity in analytic choice there can be when different researchers analyze the same data and whether such diversity results in different conclusions.","False [Comment: No formal definition, and they do not name any type of reproducibility]",NA,Same data - different analysis,"(1) Agreement in statistical significance [Comment: Twenty teams (69%) found a significant positive relationship, p < .05, and nine teams (31%) found a nonsignificant relationship. No team reported a significant negative relationship.](2) Agreement in effect size",False,NA,False,NA,False,NA,True,"A demographic survey revealed that the team leaders worked in 13 different countries and came from a variety of disciplinary backgrounds, including psychology, statistics, research methods, economics, sociology, linguistics, and management. At the time that the first draft of this manuscript was written, 38 of the 61 data analysts (62%) held a Ph.D. (62%), and 17 (28%) had a master’s degree. The analysts came from various ranks and included 8 full professors (13%), 9 associate professors (15%), 13 assistant professors (21%), 8 postdocs (13%), and 17 doctoral students (28%). In addition, 27 participants (44%) had taught at least one undergraduate statistics course, 22 (36%) had taught at least one graduate statistics course, and 24 (39%) had published at least one methodological or statistical article.;a crowdsourced approach adds value in a number of ways. A globally distributed crowdsourced project will leverage skills, perspectives, and approaches to data analysis that no single analyst or research team can realistically muster alone."
Comparison of two independent systematic reviews of trials of recombinant human bone morphogenetic protein-2 (rhBMP-2): the Yale Open Data Access Medtronic Project,2017,10.1186/s13643-017-0422-x,Louise Townsin,Life Sciences,Health,"One Phenomenon, Many Studies","We retrospectively compared the research methods and results of the final comprehensive publications of two meta-analyses performed in the context of full systematic reviews of recombinant human bone morphogenetic protein-2 (rhBMP-2) prepared by two independent centers, Center A [26, 27] from the University of York and Center B [28, 29] from Oregon Health & Science University, and focused on (1) meta-analysis trial inclusion criteria; (2) statistical methods; (3) summary risk estimates; and (4) conclusions.",True,"The premise of replication efforts is that different groups, employing rigorous methods, may take different approaches and come to different conclusions on a previously addressed question",Same data - different analysis,"(1) Agreement in statistical significance [Comment: (1) meta-analysis trial inclusion criteria; (2) statistical methods; (3) summary risk estimates; and (4) conclusions.](2) Meta-analysis of original and replication study/studies(3) Subjective assessment [Comment: In our study of two independent centers provided with identical objectives, data, resources, and time to conduct concurrent meta-analyses, we found that the centers did not report identical methods, results, and interpretations. In addition, the potential benefit of additional analyses of the same data was not limited solely to increasing confidence through replication. Separate analyses revealed nuances of differences, with potential interpretations for clinical management, which could be produced from the same data set using valid methods. These findings, even though largely similar, support the case for greater sharing and access to clinical data as a way to maximize public dialogue about the meaning of the data and to ensure that a single interpretation does not lead people to believe there is no other possible approach.]",True,"(1) meta-analysis trial inclusion criteria; (2) statistical methods; (3) summary risk estimates; and (4) conclusions. [Comment: Trial inclusion criteria were defined as study characteristics necessary for inclusion in meta-analysis. We explicitly compared, for primary and secondary endpoint meta-analyses, as well as safety analyses, the trials used by both centers for each analysis. For methods, we com- pared centers’ reported outcomes at various time points as well as statistical methods. We compared the centers’ risk estimates for all primary outcomes for efficacy as well as safety at all time points. In consideration of these factors, we provide a subjective comparison of the overall conclusions drawn by each center.Trial inclusion was largely similar with a primary difference of IPD obtained from a single published RCT. Both centers chose only to include RCTs of rhBMP-2 in spinal fusion in their meta-analysis, and both groups analyzed 11 of the RCTs.Research methodology differed primarily in the choice of stratification, with minor differences in the choice of statistical methods. Both centers studied the same primary outcomes for effectiveness and reported them at the same time points of 6 weeks and 3, 6, 12, and 24 months after surgery. Similar outcomes were also reported between the centers for harms up to 4 weeks and then up to 24 months for general adverse events, and up to 48 months for cancer and death. Neither group found evidence of an rhBMP-2 doseresponse relationship or heterogeneity in groups that received high-dose forms of rhBMP-2, so all dose formulations were combined. For harms, Center A chose to combine all trials using a generalized mixed effects model since specific adverse events were few at the trial level. Center B also used a generalized mixed effects model with stratification by surgical approach, except for cancer and death. The groups obtained similar results in summary estimates of most clinical outcomes and adverse events, although there were notable differences. Center A interpreted benefits to fusion and postoperative pain as “clinically insignificant” and increased cancer incidence as “inconclusive,” noting that “whether this increased risk is genuine is uncertain” (Table 3). Overall, by this ana- lysis alone, rhBMP-2 seemed to offer improved rates of fusion with similar clinical outcomes compared with standard techniques at the expense of increased reports of back and leg pain in the early postoperative period. In contrast to Center A’s report, Center B found “moder- ate-strength evidence of no consistent differences between rhBMP-2 and ICBG in…fusion rates.” In addition, it re- ported a statistically significant increase in cancer at the 24-month time point, while noting that “This finding should be interpreted with caution because cases were heterogeneous.” Overall conclusions from Center B seemed to indicate more strongly than those of Center A that rhBMP-2 had no additional clinical benefit.]",False,NA,"False [Comment: Center A interpreted benefits to fusion and postoperative pain as “clinically insignificant” and increased cancer incidence as “inconclusive,” noting that “whether this increased risk is genuine is uncertain” (Table 3). Overall, by this ana- lysis alone, rhBMP-2 seemed to offer improved rates of fusion with similar clinical outcomes compared with standard techniques at the expense of increased reports of back and leg pain in the early postoperative period. In contrast to Center A’s report, Center B found “moder- ate-strength evidence of no consistent differences between rhBMP-2 and ICBG in…fusion rates.” In addition, it re- ported a statistically significant increase in cancer at the 24-month time point, while noting that “This finding should be interpreted with caution because cases were heterogeneous.” Overall conclusions from Center B seemed to indicate more strongly than those of Center A that rhBMP-2 had no additional clinical benefit]",NA,False,NA
Comparison of two independent systematic reviews of trials of recombinant human bone morphogenetic protein-2 (rhBMP-2): the Yale Open Data Access Medtronic Project,2017,10.1186/s13643-017-0422-x,Rachel Heyard,Life Sciences,Clinical trials;Evidence synthesis,"One Phenomenon, Many Studies","to determine if two independent centers, each of which were contracted to pursue identical research questions concurrently, with access to identical IPD, would employ identical methods in the areas of data use and statistical analysis and report identical, or at least consistent, results and conclusions.",True,"Previous studies have sought to determine whether systematic reviews are replicable, with new teams performing new searches, summaries, and analyses of the literature for a particular question.",Different data - same analysis;Different data - different analysis [Comment: Select new data to answer the same research question - the analysis might be slightly different.],"(1) Agreement in statistical significance [Comment: Center A found a statistically significant increase in fusion rate at 24 months [...] Center B, reporting results for each surgical approach separately, did not find a significant increase in fusion at 24 months.](2) Subjective assessment [Comment: In consideration of these factors, we provide a subjective comparison of the overall conclusions drawn by each center.]",True,"Trial inclusion criteria were defined as study characteristics necessary for inclusion in meta-analysis. We explicitly compared, for primary and secondary endpoint meta-analyses, as well as safety analyses, the trials used by both centers for each analysis.;For methods, we com- pared centers’ reported outcomes at various time points as well as statistical methods.;We compared the centers’ risk estimates for all primary outcomes for efficacy as well as safety at all time points.",False,NA,False,NA,False,NA
Replicability of simulation studies for the investigation of statistical methods: the RepliSims project,2024,10.1098/rsos.231003,Joris Frese,"Social Sciences and Humanities;Life Sciences;STEM, e.g. Engineering, Mathematics, Physics",Interdisciplinary,"Many Phenomena, Many studies","""The current study aims at the following: — discussing the definitions of reproducibility and replicability in the context of simulation studies; — illustrating that replicability of simulation studies is not a given, using the replication of eight simulation studies as an example; — describing features that hinder and facilitate replicability of the original studies; and — providing preliminary recommendations for future simulation studies to facilitate replicability, in addition to available guidance for reporting of simulation studies."" (p.2)",True,"""Eight highly cited statistical simulation studies were selected, and their replicability was assessed by teams of replicators with formal training in quantitative methodology. The teams used information in the original publications to write simulation code with the aim of replicating the results. The primary outcome was to determine the feasibility of replicability based on reported information in the original publications and supplementary materials."" (Abstract)",Other [Add as comment] [Comment: Trying to recreate simulated data based on original code.],Subjective assessment,False,NA,False,NA,False,NA,False,NA
Replicability of simulation studies for the investigation of statistical methods: the RepliSims project,2024,10.1098/rsos.231003,Rachel Heyard,"STEM, e.g. Engineering, Mathematics, Physics",Simulation study;Statistics;Empirical research,"Many Phenomena, One Study","The current study aims at the following: — discussing the definitions of reproducibility and replicability in the context of simulation studies; — illustrating that replicability of simulation studies is not a given, using the replication of eight simulation studies as an example; — describing features that hinder and facilitate replicability of the original studies; and — providing preliminary recommendations for future simulation studies to facilitate replicability, in addition to available guidance for reporting of simulation studies.",True,"Replication: writing new code to generate and analyse new data, following procedures in the original study as closely as possible [Comment: Replicability]",Different data - same analysis,"Subjective assessment [Comment: assessed in a qualitative manner and involved evaluating: whether numerical values from the replication studies were comparable to those in the original studies, whether trends in the results were moving in the same direction, and whether the performance rankings of different simulation scenarios matched those in the original studies.]",False,NA,False,NA,False,NA,True,"tacit knowledge about a particular field or method could have enhanced replicability. For instance, the simulations by Fritz & MacKinnon [36] and MacKinnon et al. [37] were replicated by researchers who specialize in mediation analysis, and these were two of the more replicable studies."
Reproducibility via coordinated standardization: a multi-center study in a Shank2 genetic rat model for Autism Spectrum Disorders,2019,10.1038/s41598-019-47981-0,Helena Hartmann,Life Sciences,Neuroscience;Preclinical studies;Biomedicine,"One Phenomenon, Many Studies",whether reproducibility increases through harmonization of apparatus test protocol and aligned and non-aligned environmental variables,False,NA,Different data - different analysis,Agreement in statistical significance,False,NA,False,NA,False,NA,False,NA
Reproducibility via coordinated standardization: a multi-center study in a Shank2 genetic rat model for Autism Spectrum Disorders,2019,10.1038/s41598-019-47981-0,Rachel Heyard,Life Sciences,Preclinical research,"One Phenomenon, Many Studies",to investigate whether these previously reported results could be reproduced and replicated across three study sites by following the same experimental protocol for behavioral evaluation with automated video scoring analysis and drug testing.,"False [Comment: No definition, but refer to reproducibility]",NA,"Different data - same analysis [Comment: Although the aim of this study was to explore the reproducibility of the results, it was not intended to fully reproduce the original methodology; standardized phenotyping equipment was used, and small changes were made to the protocol for this study.]",None of the above,True,"Three-way ANOVA [Comment: A three-way ANOVA with genotype (two levels) and site (three levels) as between-subject factors, and treatment as the repeated within-subject factor [four levels (vehicle, 3 doses)] was performed on absolute data values for each of the readouts. In the case of a main site and genotype effect in this absolute data set, normalized values (relative to vehicle treatment) were analyzed using the same three-way ANOVA design. This analysis aimed to address reproducibility across sites in terms of the phenotype evaluation as well as the pharmacological intervention.]",False,NA,False,NA,False,NA
Quantitative Macroeconomics: Lessons Learned from Fourteen Replications,2023,10.1007/s10614-022-10234-w,Rachel Heyard,Social Sciences and Humanities,Quantitative Macroeconomics;Economics,"Many Phenomena, One Study",The focus of this paper is instead on the lessons to be learned from these replications and on providing some suggestions for best practice based on the experience of performing the replications.,True,"Replication necessarily involves writing new code as simply running existing codes includes replicating all the errors made in the original when treating the data and writing the code. [Comment: Replicability, also refers to it as quasi-replications, saying ""I do not attempt to use the same numerical methods to solve the model as the original authors, and I (only) replicate all ﬁgures and tables relating to the model""]",Different data - same analysis,None of the above,True,"quartiles of the percentage difference between the replication and original results [Comment: It is based on all the entries of all the Tables from each paper: the absolute percentage difference between the replication value and the value in the original paper was calculated for every table entry, and the quartiles of these are reported.]",False,NA,True,The main weakness of this is that it obviously misses any Figures. [Comment: quartiles of the percentage difference],False,NA
Quantitative Macroeconomics: Lessons Learned from Fourteen Replications,2023,10.1007/s10614-022-10234-w,Samuel Pawel,"Social Sciences and Humanities;STEM, e.g. Engineering, Mathematics, Physics",Quantitative Macroeconomics,"Many Phenomena, One Study","""replicate all tables and figures from fourteen papers in Quantitative Macroeconomics""",False,NA,"Other [Add as comment] [Comment: the author replicates computational studies, hard to say whether these replications are ""new data"" and ""new analyses"" or not]",None of the above,True,Percentage Difference between Numbers in Replication and Original Paper,False,NA,False,NA,False,NA
Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015,2018,10.1038/s41562-018-0399-z,Helena Hartmann,Social Sciences and Humanities,social science,"Many Phenomena, Many studies",Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015,True,"find a significant effect in the same direction as the original study, Being able to replicate scientific findings",Different data - same analysis,(1) Agreement in effect size [Comment: direction of effect](2) Agreement in statistical significance [Comment: p </> .05],False,NA,False,NA,False,NA,True,"Each investigation has a relatively small sample of studies with idiosyncratic inclusion criteria and unknown generalizability. However, the diversity in approaches provides some confidence that considering them in the aggregate may provide more general insight about reproducibility in the social behavioural sciences."
Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015,2018,10.1038/s41562-018-0399-z,Joris Frese,Social Sciences and Humanities,Interdisciplinary,"Many Phenomena, Many studies","""Being able to replicate scientific findings is crucial for sci- entific progress1–15. We replicate 21 systematically selected experimental studies in the social sciences published in Nature and Science between 2010 and 2015"" (Abstract)",True,"""We replicate 21 systematically selected experimental studies in the social sciences published in Nature and Science between 2010 and 201516–36. The replications follow analysis plans reviewed by the original authors and pre-registered prior to the replications. The replications are high powered, with sample sizes on average about five times higher than in the original studies."" (Abstract)",Different data - same analysis,Agreement in effect size,True,"""In additional Bayesian analyses, we use an errors-in-variables mixture model49 to estimate the true-positive rate in the total sam- ple"" (p.639)",False,NA,False,NA,False,NA
Reproducibility in Management Science,2024,10.31219/osf.io/mydzv,Joris Frese,Social Sciences and Humanities,Management Science,"Many Phenomena, Many studies","""With the help of more than 700 reviewers, we assess the reproducibility of nearly 500 articles published in the journal Management Science before and after the introduction of a new Data and Code Disclosure policy in 2019"" (Abstract)",True,"""In addition to individual reproducibility assessments of tables, figures, and other results, we asked reviewers for an overall assessment of their reproduction attempt. The guidelines given to reviewers stated the following assess-ment classifications: •An assessment of “Fully reproduced” means that the output of the reproduction analysis shows the exact same results as reported in the article, for all results reported in the main manuscript.•“Largely reproduced, with minor issues” means that there may be small differences in the reproduction output compared with the results in the original article, but the article’s conclusions and learnings stay the same.•“Largely not reproduced, with major issues” means that there are major differences in the output compared with the results in the article, such that the reproduction results could not be used to support the conclusions of the original article.•An assessment of “Not reproduced” means that the results from the reproduction cannot support the conclusions drawn in the paper, either because the out-put is different, or because the results cannot be pro-duced at all because of missing data or non-recoverable code."" (p.1348)",Same data - same analysis,(1) Agreement in statistical significance(2) Agreement in effect size(3) Subjective assessment,False,NA,False,NA,False,NA,False,NA
Reproducibility in Management Science,2024,10.31219/osf.io/mydzv,Rachel Heyard,Social Sciences and Humanities,Management sciences,"Many Phenomena, One Study [Comment: But they tried to have two reproductions for as many original papers as possible]",Assess the reproducibility of articles published in Management Science before and after the introduction of the 2019 policy,True,"""The term “computational reproducibility” comes closest to the scope of our study, and is defined as the extent to which results in studies can be reproduced based on the same data and analysis as the original study.""",Same data - same analysis,"Subjective assessment [Comment: After having reviewed a study’s replication package, reviewers are asked “What is your overall assessment of the reproducibility of this article's main results (tables, figures, other results in the main manuscript)?” with six response options.]",True,More assessment on content of replication package and its quality,False,NA,True,the eventual categorization of the article remains subjective to the reviewer. [Comment: Subjective assessment],False,NA
A Multilab Preregistered Replication of the Ego-Depletion Effect,2016,10.1177/1745691616652873,Joris Frese,Social Sciences and Humanities,Psychology,"One Phenomenon, Many Studies","""Understanding the mechanisms by which self-control predicts behavior [...] Self-control is conceptualized as a limited resource that becomes depleted after a period of exertion resulting in self-control failure. The model has typically been tested using a sequentialtask experimental paradigm, in which people completing an initial self-control task have reduced self-control capacity and poorer performance on a subsequent task, a state known as ego depletion."" (abstract)",True,"""We proposed a set of independent replications of the ego-depletion effect using the sequential-task paradigm, as advocated by Carter and McCullough (2013b, 2014) and Hagger and Chatzisarantis (2014)."" p. 548",Different data - same analysis,Meta-analysis of original and replication study/studies [Comment: Meta analysis of 23 replications. Effect size and confidence interval of meta analysis were reported and interpreted in comparison to the original effect size.],False,NA,False,NA,False,NA,False,NA
A Multilab Preregistered Replication of the Ego-Depletion Effect,2016,10.1177/1745691616652873,Rachel Heyard,Social Sciences and Humanities,Psychology,"One Phenomenon, Many Studies",We proposed a set of independent replications of the ego-depletion effect using the sequential-task paradigm,"False [Comment: No formal definition, but they refer to it a replicability]",NA,Different data - same analysis,"(1) Agreement in effect size [Comment: Averaged sample-weighted effect sizes for the mean, only three labs found mean RT values with confidence intervals that did not include the value of zero, two of which were negative](2) Meta-analysis of original and replication study/studies [Comment: Forest plots showing the means of the target dependent variables (mean RTV and RT for the MSIT) in both conditions for each lab]",True,"Heterogeneity in the effect sizes with Cochranes Q and I2 statistics, , with a statistically significant value for Q and an I2 value greater than 25% indicative of at least moderate levels of heterogeneity in the effect size across studies.",False,NA,False,NA,True,"Participating labs were in Australia, Belgium, Canada, France, Germany, Indonesia, the Netherlands, New Zealand, Sweden, Switzerland, and the United States. Coordinated and systematic translation efforts were undertaken to prepare study materials in labs recruiting participants whose native language was not English."
Systematizing Confidence in Open Research and Evidence (SCORE),2024,10.31235/osf.io/46mnb,Helena Hartmann,Social Sciences and Humanities,"Social science;Behavioral science [Comment: Criminology, Economics and Finance, Education, Health, Management, Marketing and Organizational Behavior, Political Science, Psychology, Public Administration, and Sociology]","Many Phenomena, Many studies",creating and validating algorithms to provide confidence scores for research claims at scale. To investigate the viability of scalable tools,True,"assess claims to determine their credibility including evaluating reliability, validity, generalizability, and applicability.","Same data - same analysis;Same data - different analysis ;Different data - same analysis;Different data - different analysis [Comment: database of claims from papers; expert and machine generated estimates of credibility; and, evidence of reproducibility, robustness, and replicability to validate the estimates]",None of the above,True,"predictions, called confidence scores, from human readers about replicability of extracted claims (replicats, prediction markets);generate confidence scores using machine learning and other algorithmic approaches",True,"https://doi.org/10.31222/osf.io/2pczv, osf.io/svg3x",False,NA,True,"SCORE forecasted 3,000 highly diverse claims;Generalizable = Original claim supported across diverse samples, treatments, outcomes, and settings;Robust = Original claim supported with diverse treatments of original data;SCORE is inclusive of a substantial portion of the social-behavioral sciences to facilitate generalizability and investigation of heterogeneity in credibility and replicability across subdisciplines and methodologies. Also, with a standard identification process of discrete claims across papers, the SCORE program facilitates broad inclusion of outcome types, comparison of those outcomes across papers, and a variety of verification attempts including reproduction, robustness, and replication tests."
Systematizing Confidence in Open Research and Evidence (SCORE),2024,10.31235/osf.io/46mnb,Louise Townsin,Social Sciences and Humanities,Interdisciplinary [Comment: social and behavioral sciences],"Many Phenomena, Many studies","The primary research objective for SCORE is to create accurate, scalable, automated algorithms to signal confidence in research claims [Comment: SCORE has aspirational objectives to advance scalable tools for credibility assessment, and will generate substantial research artifacts to support scholarly research on human and machine judgment, replicability and reproducibility, and the nature of research claims. This is made possible by SCORE’s greatest asset -- the participation of hundreds of researchers across the social and behavioral sciences contributing to claim extraction, credibility assessment, and reproducibility, robustness, and replication studies.]",True,Replication: Testing the reliability of a prior finding with new data expected to be theoretically equivalent by comparing the outcome of an inferential test as reported in a paper with the equivalent inferential test as calculated in the new dataset. [Comment: Reproducibility: Testing the reliability of a prior finding with the same data and same analysis strategy by comparing the outcome of an inferential test as reported in a paper with a re-calculation of that inferential test from the original data.],Same data - different analysis,"None of the above [Comment: used human evaluators to provide confidence scores predicting the reproducibility or replicability of the 3,000 research claims in the annotation set. Also used machine learning methods to develop algorithms that assign confidence scores just like the human evaluators. Also created a stratified random sample of 600 of those papers to create the evidence set. Some claims from the evidence set were subjected to reproduction and replication studies.]",False,NA,True,"n/a [Comment: Not reproducibility specifically but In discussion of work to predict/ manage human and automated scores of possible replication: Described in detail by Hanea and colleagues (2021), the aggregation models fall into three categories: (1) linear combinations of best estimates, transformed best estimates (Satopää et al., 2014) and distributions (Cooke et al., 2021); (2) Bayesian approaches, one of which incorporates characteristics of a claim directly from the paper, such as sample size and effect size; and (3) weighted linear combinations of best estimates, mainly by potential proxies for good forecasting performance, such as demonstrated breadth of reasoning, engagement in the task, openness to changing opinion and informativeness of judgments (Mellers, Stone, Atanasov, et al., 2015; Mellers, Stone, Murray, et al., 2015). Replication Markets extends work showing that markets of domain experts can accurately estimate the replicability of findings in the social and behavioral sciences (Camerer et al., 2016, 2018; Dreber et al., 2015; Ebersole et al., 2020; Forsell et al., 2018; Klein et al., 2018; Gordon et al., 2021).]","False [Comment: There is no definitive criterion for deciding whether a finding is successfully replicated or reproduced (Nosek et al., 2021)]",NA,False,NA
