Title,Year,Doi,InvestigatorName,Field of research,Discipline,Type of project,Research question or aim,Did the authors define the type of reproducibility that is investigated?,Aspect of reproducibility investigated,"Even if defined by the authors, infer the aspect of reproducibility investigated",Did the authors measure reproducibility,Did they measure reproducibility using measures not in the previous list?,Paste description of each of the measures used,Number of measures,Did the paper refer to other papers for more information on the metric(s) used?,Paste the doi of all paper(s),Did the authors discuss limitations or assumptions of the metric(s) used?,Paste text on limitation/assumptions,"Did the authors discuss equity, diversity, and/or inclusion at any point?",Paste text on EDI dimension discussion
Systematizing Confidence in Open Research and Evidence (SCORE),2024,10.31235/osf.io/46mnb,Helena Hartmann;Louise Townsin,Social Sciences and Humanities,"Interdisciplinary [Comment: Criminology, Economics and Finance, Education, Health, Management, Marketing and Organizational Behavior, Political Science, Psychology, Public Administration, and Sociology]","Many Phenomena, Many studies","The primary research objective for SCORE is to create accurate, scalable, automated algorithms to signal confidence in research claims [Comment: SCORE has aspirational objectives to advance scalable tools for credibility assessment, and will generate substantial research artifacts to support scholarly research on human and machine judgment, replicability and reproducibility, and the nature of research claims. This is made possible by SCORE’s greatest asset -- the participation of hundreds of researchers across the social and behavioral sciences contributing to claim extraction, credibility assessment, and reproducibility, robustness, and replication studies.]",TRUE,Replication: Testing the reliability of a prior finding with new data expected to be theoretically equivalent by comparing the outcome of an inferential test as reported in a paper with the equivalent inferential test as calculated in the new dataset.  Reproducibility: Testing the reliability of a prior finding with the same data and same analysis strategy by comparing the outcome of an inferential test as reported in a paper with a re-calculation of that inferential test from the original data.,Same data - same analysis; Same data - different analysis; Different data - same analysis;Different data - different analysis,None of the above,TRUE,"predictions, called confidence scores, from human readers about replicability of extracted claims (replicats, prediction markets); generate confidence scores using machine learning and other algorithmic approaches. [Comment: used human evaluators to provide confidence scores predicting the reproducibility or replicability of the 3,000 research claims in the annotation set. Also used machine learning methods to develop algorithms that assign confidence scores just like the human evaluators. Also created a stratified random sample of 600 of those papers to create the evidence set. Some claims from the evidence set were subjected to reproduction and replication studies.]",2,TRUE,"https://doi.org/10.31222/osf.io/2pczv, osf.io/svg3x; [Comment: Not reproducibility specifically but In discussion of work to predict/ manage human and automated scores of possible replication: Described in detail by Hanea and colleagues (2021), the aggregation models fall into three categories: (1) linear combinations of best estimates, transformed best estimates (Satopää et al., 2014) and distributions (Cooke et al., 2021); (2) Bayesian approaches, one of which incorporates characteristics of a claim directly from the paper, such as sample size and effect size; and (3) weighted linear combinations of best estimates, mainly by potential proxies for good forecasting performance, such as demonstrated breadth of reasoning, engagement in the task, openness to changing opinion and informativeness of judgments (Mellers, Stone, Atanasov, et al., 2015; Mellers, Stone, Murray, et al., 2015). Replication Markets extends work showing that markets of domain experts can accurately estimate the replicability of findings in the social and behavioral sciences (Camerer et al., 2016, 2018; Dreber et al., 2015; Ebersole et al., 2020; Forsell et al., 2018; Klein et al., 2018; Gordon et al., 2021).]",FALSE,NA,TRUE,"SCORE forecasted 3,000 highly diverse claims; Generalizable = Original claim supported across diverse samples, treatments, outcomes, and settings; Robust = Original claim supported with diverse treatments of original data;SCORE is inclusive of a substantial portion of the social-behavioral sciences to facilitate generalizability and investigation of heterogeneity in credibility and replicability across subdisciplines and methodologies. Also, with a standard identification process of discrete claims across papers, the SCORE program facilitates broad inclusion of outcome types, comparison of those outcomes across papers, and a variety of verification attempts including reproduction, robustness, and replication tests."
Evaluating replicability of laboratory experiments in economics,2016,10.1126/science.aaf0918,Joris Frese; Louise Townsin,Social Sciences and Humanities,Economics,"Many Phenomena, Many studies","""To contribute data about replicability in economics, we replicated 18 studies published in the American Economic Review and the Quarterly Journal of Economics between 2011 and 2014."" (Abstract)",FALSE,NA,Different data - same analysis,"Agreement in statistical significance [Comment: We present results for the same replication indicators that were used in the RPP. As our first indicator of replication, we used a “significant effect in the same direction as in the original study”.] (2) Agreement in effect size [Comment: A complementary method for assessing replicability is to test whether the 95% confidence interval (CI) of the replication effect size includes the original effect size. An alternative measure, which acknowledges sampling error in both the original study and the replications, is to count how many replicated effects lie in a 95% “prediction interval”. We also tested whether replicability is correlated with two observable characteristics of published studies: the P value and the sample size (number of participants) of the original study.] (3) Meta-analysis of original and replication study/studies [Comment: The original and replication studies can also be combined in a meta-analytic estimate of the effect size.]",TRUE,"Predicition markets [To measure peer beliefs about the replicability of original results, we set up prediction markets before the 18 replications were performed.]",5,TRUE,10.1198/000313006X152649; 10.1111/j.1745-6924.2008.00079.x,TRUE,"""An alternative measure, which acknowledges sampling error in both the original study and the replications, is to count how many replicated effects lie in a 95% “prediction interval” (24).""; ""the original effect sizes in the studies that we replicated could have been inflated, a phenomenon that could stem from publication bias (28). If there is publication bias, our prospective power analyses will have overestimated the replication power.""",FALSE,NA
Reproducibility of findings in modern PET neuroimaging: insight from the NRM2018 grand challenge,2021,10.1177/0271678X211015101,Helena Hartmann; Rachel Heyard,Life Sciences,Neuroimaging,"One Phenomenon, Many Studies",assess the performance and consistency of PET pre-processing and modelling approaches on a common data set where the ground truth was known,FALSE,NA,Same data - different analysis,None of the above,TRUE,percentage root-mean-squared error (RMSE); Jaccard similarity index,2,FALSE,NA,FALSE,NA,TRUE,"The full dataset, inclusive of simulated dynamic PET images, reference kinetic parameters and areas of displacement..."
Registered Replication Report: Study 1 From Finkel Rusbult Kumashiro & Hannon (2002),2016,10.1177/1745691616664694,Helena Hartmann; Rachel Heyard,Social Sciences and Humanities,Psychology,"One Phenomenon, Many Studies","This Registered Replication Report (RRR) meta-analytically combines the results of 16 new direct replications of the original study, all of which followed a standardized, vetted, and preregistered protocol.; this study provides the only experimental evidence that inducing changes to subjective commitment can causally affect forgiveness responses.; to provide a direct replication of this influential finding and to provide a more precise estimate of the size of the effect of this commitment prime on how people report that they would respond to betrayals from a romantic partner",TRUE,"""direct replications of the original study, all following the same vetted protocol""",Different data - same analysis,"(1) Agreement in statistical significance (2) Agreement in effect size [Comment: Comparison of original effect to meta-analytical effect from all replications. ""If the RRR precisely replicated the results of the original study, it would observe a similarly sized difference for exit and neglect, and a similar lack of a difference for voice and loyalty""]",FALSE,NA,2,FALSE,NA,FALSE,NA,FALSE,NA
Reproducibility of real-world evidence studies using clinical practice data to inform regulatory and coverage decisions,2022,10.1038/s41467-022-32310-3,Rachel Heyard; Samuel Pawel,Life Sciences,Medicine; Randomized clinical trials; Real-world evidence,"Many Phenomena, One Study","""To evaluate the independent reproducibility of results from 150 published RWE studies using the same healthcare databases and applying the same reported methods as original authors.""",TRUE,"Reproducibility is the ability to obtain the same results when reanalyzing the original data, following the original analysis strategy. [Comment: They defined it as being different from computational reproducibility, since they did not use original data and code - but simply followed the same steps to acquire the same data and analysis.]",Same data - same analysis,(1) Agreement in effect size [Comment: relative magnitude of the original effect size compared to the reproduction effect size; Pearson’s correlation coefficient between the reproduced and original effect sizes (both unweighted and inverse variance weighted); proportion of studies where the absolute difference in the coefficients for the measure of association differed by ≤0.1 or ≤0.2; proportion of comparative studies where the reproduced measure of association was closer to null than the original; the proportion where the measures were on the same side of null; the proportion with any overlap in 95% confidence intervals],TRUE,"Reproducibility of population sample size was measured by dividing the sample size of the original study by the reproduction.; Reproducibility of baseline characteristics reported in an original manuscript table describing the cohort characteristics. The reproducibility of binary and categorical baseline characteristics of the study population was measured by taking the prevalence of the characteristic reported in the original publication (within each exposure group if there was more than one) and subtracting the prevalence obtained in the reproduction.; Reproducibility of outcome risks and rates was measured by taking the reported outcome risk or rate in the original publication and subtracting the risk or rate obtained in the reproduction. For descriptive studies, the overall risk or rate was reproduced. For comparative studies, the risk or rate was reproduced for each compared group. Rates were converted to reﬂect events per 100 person-years.; Reproducibility metrics for measures of associations of interest were the relative magnitude of the original effect size compared to the reproduction effect size and the Pearson’s correlation coefﬁcient between the reproduced and original effect sizes. [Comment: They used calibration plots and bland-altman plots to represent findings and compare results.]",12,FALSE,NA,TRUE,"the proportion of studies where the effect estimate was on the same side of null can mislead in RWE studies with small effect sizes as small implementation differences could conceivably result in enough change to result in an effect estimate on the other side of null in a reproduction attempt. Further, the reproduction effort is focused on US and UK data sources frequently used in research and the generalizability may be limited to well-established and curated research databases that are accessible to independent researchers. [Comment: they refer to this: 10.1515/em-2016-0018]",FALSE,NA
Using mice from different breeding sites fails to improve replicability of results from single-laboratory studies,2024,10.1038/s41684-023-01307-w,Helena Hartmann; Rachel Heyard,Life Sciences,Neuroscience; Animal studies; Preclinical research,"Many Phenomena, Many studies","In this Article, we therefore tested whether systematic hetero- genization of study populations, by using mice from different breeding sites to introduce the genetic and environmental variation that normally exists between independent study populations, would increase the external validity of the results sufficiently to guarantee replicability.",FALSE,NA,Different data - different analysis,None of the above,TRUE,"multivariate analysis of variance (MANOVA); Levene tests for equal variances; To investigate whether HET designs led to lower between-laboratory variation than STA designs, we ran for each outcome variable two separate mixed models with the outcome as a dependent variable, laboratory as fixed effect and cage ID as a random factor—one for the HET design and one for the STA design. We then compared the marginal R2 estimates. [Comment: For comparing the variance of each Levene: outcome variable between STA and HET cohorts within each of the laboratory]",1,FALSE,NA,FALSE,NA,True [Comment: not really the diveristy we mean I think],"the diversity of the mice within breeding sites may have been greater than expected, thereby limiting the scope for variation between breeding sites. This could, for example, be due to variation in age (the age of mice may vary by several days) and origin from different colony rooms."
Estimating the reproducibility of psychological science,2015,10.1126/science.aac4716,Helena Hartmann; Rachel Heyard,Social Sciences and Humanities,Psychology,"Many Phenomena, One Study",To estimate the reproducibility of psychological science,TRUE,"Direct replication is the attempt to recreate the conditions believed sufficient for obtaining a previously observed finding (7, 8) and is the means of establishing reproducibility of a finding with new data.",Different data - same analysis,"(1) Agreement in statistical significance [Comment: original studies that interpreted nonsignificant P values as significant were coded as significant (four cases, all with P values < 0.06). Using only the nonsignificant P values of the replication studies and applying Fisher’s method (26), we tested the hypothesis that these studies had “no evidential value” (the null hypothesis of zero-effect holds for all these studies).] (2) Agreement in effect size [Comment: We compared effect sizes using four tests. We compared the central tendency of the effect size distributions of original and replication studies using both a paired two-sample t test and the Wilcoxon signed-rank test. Third, we computed the proportion of study-pairs in which the effect of the original study was stronger than in the replication study and tested the hypothesis that this proportion is 0.5. For this test, we included findings for which effect size measures were available but no correlation coefficient could be computed (for example, if a regression coefficient was reported but not its test statistic). Fourth, we calculated “coverage,” or the proportion of study-pairs in which the effect of the original study was in the CI of the effect of the replication study, and compared this with the expected pro- portion using a goodness-of-fit c2 test.] (3) Meta-analysis of original and replication study/studies [Comment: fixed-effect meta-analyses using the R package metafor. The number of times the CI of all these meta-analyses contained 0 was calculated.] (4) Subjective assessment [Comment: For subjective assessment, replication teams answered “yes” or “no” to the question, “Did your results replicate the original effect?”]",FALSE,NA,6,FALSE,NA,TRUE,These data provide information about reproducibility in general but little precision about individual effects in particular.,FALSE,NA
Comparison of Model Averaging Techniques: Assessing Growth Determinants,2012,10.1002/jae.2288,Joris Frese; Rachel Heyard,Social Sciences and Humanities,Economics; Econometrics,"Many Phenomena, One Study","""This paper set out to replicate several important studies focused on model uncertainty in the modeling of economic growth.""",FALSE,NA,Same data - different analysis,Agreement in effect size [Comment: Comparison of coefficient estimates],TRUE,Comparison of posterior inclusion probability,2,FALSE,NA,FALSE,NA,FALSE,NA
Registered Replication Report: Strack Martin & Stepper (1988),2016,10.1177/1745691616674458,Joris Frese; Rachel Heyard,Social Sciences and Humanities,Psychology,"One Phenomenon, Many Studies",to measure the reliability and size of an effect.,TRUE,replicated directly using the same design and the same dependent variable. [Comment: Replicability],Different data - same analysis,(1) Agreement in statistical significance (2) Agreement in effect size [Comment: the 95% confidence interval was narrower than the one estimated for Study 1 from SMS] (3) Agreement in effect size [Comment: the 95% confidence interval overlapped the mean effect size from SMS Study 1] (4) Agreement in effect size [Comment: Random-effects meta-analysis of all replications vs. original],TRUE,"""In addition to this primary analysis, we report two Bayes factor analyses for each study."" (p. 921)",5,FALSE,NA,FALSE,NA,FALSE,NA
Multidimensional Signals and Analytic Flexibility: Estimating Degrees of Freedom in Human-Speech Analyses,2023,10.1177/25152459231162567,Helena Hartmann; Rachel Heyard,"Social Sciences and Humanities;Life Sciences;STEM, e.g. Engineering, Mathematics, Physics",Interdisciplinary; Linguistics; Speech production research;Acoustic research,"One Phenomenon, Many Studies",assess flexibility in fields in which the primary data lend themselves to a variety of possible operationalizations; The primary aim of this analysis was to assess the degree of between-team variability.,TRUE,(a) produce data that can be replicated using the original methods and (b) arrive at robust conclusions substantiated by such data.,Same data - different analysis,"(1) Meta-analysis of original and replication study/studies [Comment: We investigated the variability in reported effect sizes using Bayesian meta-analytic techniques. As the measure of variability, we took the meta-analytic group-level standard deviation (σαt; see below), where each analysis team represents a group.] (2) Agreement in effect size",TRUE,"Descriptive summary statistics [Comment: describing variation among analyses, including (a) the nature and number of acoustic measures (e.g., f0 or dura- tion), (b) the operationalization and the temporal domain of measurement (e.g., mean of an interval or value at a specified point in time), (c) the nature and number of model parameters for both fixed and random effects (if applicable), (d) the nature and reasoning behind inferential assessments (e.g., dichotomous decision based on p values, ordinal decision based on a Bayes factor), as well as the (e) mean, (f) standard deviation, and (g) range of the standardized effect sizes (see the next section for the standardization procedure).]",3,FALSE,NA,FALSE,NA,FALSE,NA
Leveraging real-world data to assess treatment sequences in health economic evaluations: a study protocol for emulating target trials using the English Cancer Registry and US Electronic Health Records-Derived Database,2024,NA,Joris Frese; Rachel Heyard,"Life Sciences;STEM, e.g. Engineering, Mathematics, Physics; Social Sciences and Humanities",Medicine,"Many Phenomena, One Study","""to assess the feasibility of harnessing data from the English Cancer Registry and Flatiron electronic health record (EHR)-derived database to derive unbiased effect estimates for comparing oncology treatment sequences.""",TRUE,"""replicate the designs and results of existing clinical trials (i.e., benchmark trials) through emulating Target Trials using RWD, including applying the same (or as far as possible) patient inclusion/exclusion criteria and analytical methods to achieve the emulation"" [Comment: Emulation]",Different data - same analysis,"(1) Agreement in statistical significance [Comment: Regulatory agreement: This component assesses whether the RWE replicates its benchmark’s results (such as hazard ratio (HR) and risk ratio (RR)) in terms of both direction and statistical significance observed in the benchmark trials. Endpoints with non-significant effects in RCTs should also show no significant effect in RWE.] (2) Agreement in effect size [Comment: Estimate agreement: examines whether the point estimate of RWE’s effect sizes falls within the 95% confidence intervals (CIs) of the benchmark trial. Furthermore, we added an extra procedure to include the comparison of non-relative effect estimates for timeto-event outcomes. For example, it examines whether the point effect of median survival estimates falls within the 95% confidence interval (CI) of the trial.] (3) Agreement in effect size [Comment: Exploratory - standardised differences: It involves computing the standardised difference to compare the relative effect estimates from the benchmark and the RWE, to determine whether there is a statistically significant difference in the estimated effects.]",TRUE,Exploratory - survival curve comparison: The key aspect here is assessing whether the point estimates of the RWE survival curve for each treatment-sequence group fall within the 95% CI of the benchmark trial.,4,TRUE,10.1002/cpt.1633 [Comment: Agreement measures],TRUE,"""Considering the potentially disproportionately large sample size of RWE, achieving statistical significance might be easier compared to the benchmarks"" (and thus not easier to meet the first criteria). [Comment: Agreement in statistical significance]",FALSE,NA
A rise by any other name? Sensitivity of growth regressions to data source,2008,10.1016/j.jmacro.2007.08.015,Helena Hartmann; Louise Townsin,Social Sciences and Humanities,Economics,"Many Phenomena, One Study",Replication of several recent studies of growth determinants,FALSE,NA,Different data - same analysis,(1) Agreement in statistical significance (2) Agreement in effect size,FALSE,NA,2,FALSE,NA,FALSE,NA,TRUE,"Table 8 are based on the “full conditioning set of variables” that includes the variables of interest plus initial years of schooling, government size, inflation rate, black market premium, openness to trade, number of revolutions and coups, political assassinations and ethnic diversity.; As of version 6.1 PWT contains 115 benchmark countries ( i.e. countries included in the ICP) and 53 additional nonbenchmark countries."
Time to get personal? The impact of researchers choices on the selection of treatment targets using the experience sampling methodology,2020,10.1016/j.jpsychores.2020.110211,Joris Frese; Rachel Heyard,Social Sciences and Humanities;Life Sciences,Psychology; Medicine; Statistics [Comment: Investigate experience sampling methodology],"One Phenomenon, Many Studies",evaluate how much researchers vary in their analytical approach towards these individual time-series data and to what degree outcomes vary based on analytical choices.,FALSE,"""we crowdsourced the analysis of one individual patient's ESM data to 12 prominent research teams, asking them what symptom(s) they would advise the treating clinician to target in subsequent treatment."" (Abstract)",Same data - different analysis,(1) Subjective assessment,TRUE,"Description of differences in analytical approaches including variable selection, preprocessing, clustering and statistical analyses.; Description of differences in results, e.g. selected targets, treatment selection",3,FALSE,NA,FALSE,NA,TRUE,"None of the analytic approaches were inherently invalid. Instead, the multiplicity of plausible processing steps implies that there could be several sensible statistical results based on the same original dataset [Comment: Referencing to this 10.1177/1745691616658637]"
Estimating the Reproducibility of Experimental Philosophy,2021,10.1007/s13164-018-0400-9,Joris Frese; Rachel Heyard,Social Sciences and Humanities,Philosophy; Experimental Philosophy,"Many Phenomena, One Study","""Responding to recent concerns about the reliability of the published literature in psychology and other disciplines, we formed the X-Phi Replicability Project (XRP) to estimate the reproducibility of experimental philosophy"" (Abstract)",TRUE,"""To answer this question, ‘direct’ replications are needed (Doyen et al. 2014). Direct replications—often contrasted with ‘conceptual’ replications—are replications that attempt to follow the design and methods of an original study as closely as possible in order to confirm its reported findings"" (p.14)",Different data - same analysis,"(1) Agreement in statistical significance [Comment: Were the replication results statistically significant? For the present research, we defined ‘statistically significant’ as a p-value less than .05, following the currently conventional default standards for Null Hypothesis Significance Testing (NHST).] (2) Agreement in effect size [Comment: Comparison of the original and replication effect size: Because sample sizes of replication studies were typically larger than those of original ones, and because calculation of confidence intervals (CIs) for original effect sizes were not always possible (due to a lack of information), we decided to draw this comparison by investigating whether the original effect size fell within the 95% CI of the replication effect size.] (3) Subjective assessment [Comment: Subjective assessment of the replicating team: By asking our researchers to register their overall subjective judgment about whether the effect replicated, therefore, they were able to take into consideration the ‘wider picture’.]",FALSE,NA,3,TRUE,10.1521/soco.2014.32.supp.12,TRUE,"(1) the use of p-values as a criterion for success is especially dubious when applied to studies reporting null results [Comment: Agreement in statistical significance](2) sample sizes of replication studies were typically larger than those of original ones, and calculation of confidence intervals (CIs) for original effect sizes were not always possible (due to a lack of information), [Comment: Agreement in effect size]",FALSE,NA
Many Labs 3: Evaluating participant pool quality across the academic semester via replication,2016,10.1016/j.jesp.2015.10.012,Helena Hartmann; Rachel Heyard,Social Sciences and Humanities,Psychology [Comment: social psychology; cognitive psychology],"Many Phenomena, Many studies",we investigated the extent to which 10 psychological effects and multiple individual difference variables varied across the academic semester.,FALSE,NA,Different data - same analysis,"(1) Agreement in statistical significance [Comment: For each phenomenon, the effect aggregated for all replication participants was compared to the original effect] (2) Agreement in effect size [Comment: For each phenomenon, the effect aggregated for all replication participants was compared to the original effect]",FALSE,NA,2,FALSE,NA,FALSE,NA,TRUE,"In addition, for the collected set of effects and measures we sought: (1) diversity of represented research domains, (2) diversity of known or presumed likelihood of variation across the semester, and (3) diversity of “classic” well-established effects and contemporary effects that have untested replicability.;These participants came from a wide range of institutions, producing a relatively diverse undergraduate sample.; ""These participants came from a wide range of institutions, producing a relatively diverse undergraduate sample.;Given this, one strategy would have been to only select classic, well-established effects for replication. However, it is possible that these effects are well established because they are resistant to contextual variation."""
Many Labs 4: Failure to Replicate Mortality Salience Effect With and Without Original Author Involvement,2022,10.1525/collabra.35271,Helena Hartmann; Rachel Heyard,Social Sciences and Humanities,Social psychology,"One Phenomenon, Many Studies",To investigate whether author involvement increases replicability,FALSE,NA,Different data - same analysis,"(1) Agreement in effect size [Comment: Original vs. meta-analysis of all replications; No clear explanation of metric used, but they did a random-effects meta-analysis on all the replications and then compared this with the original results]",FALSE,NA,1,TRUE,https://doi.org/10.3389/fpsyg.2014.01521,FALSE,NA,FALSE,NA
Is Economics Research Replicable? Sixty Published Papers From Thirteen Journals Say “Often Not”,2022,10.1561/104.00000053,Helena Hartmann; Joris Frese,Social Sciences and Humanities,Economics; Macroeconomics,"Many Phenomena, Many studies",to replicate 67 macroeconomic papers published in 13 well-regarded economics journals using author-provided replication ﬁles that included both data and code by following a preanalysis plan.,TRUE,"""We deﬁned a successful replication as when the authors or journal provided data and code ﬁles that allowed us to qualitatively reproduce the key results of the paper."" (p.8)",Same data - same analysis,None of the above,TRUE,Reproduce Figures and Tables; produce the key qualitative conclusions of the original paper,2,TRUE,"(1) 10.1111/joes.12139 [Comment: Replication-Verification by Clemens (2017)](2) No DOI [Comment: Replication Accuracy Rating System by Glandon (2010)](3) 10.1353/mcb.2006.0061 [Comment: Partially Successful Replication (""replicating enough of the results that the conclusions of the article remain intact"") by McCollough et al. (2006)]",TRUE,"""We deﬁned success using this extremely loose deﬁnition to get an upper bound on what the replication success rate could be."" (p.8) [Comment: Replication Verification; Replication Accuracy System; Partially Successful Replication]",FALSE,NA
Investigating Variation in Replicability,2014,10.1027/1864-9335/a000178,Joris Frese; Rachel Heyard,Social Sciences and Humanities;Life Sciences,Psychology,"Many Phenomena, Many studies","to examine the heterogeneity of effect sizes by the wide variety of samples and settings, and to provide an example of a paradigm for testing such variation.",TRUE,"Replication is a central tenet of science; its purpose is to confirm the accuracy of empirical findings, clarify the conditions under which an effect can be observed, and estimate the true effect size. Successful replication of an experiment requires the recreation of the essential conditions of the initial experiment. [Comment: Replicability]",Different data - same analysis,(1) Agreement in statistical significance [Comment: Proportion of samples that rejected the null hypothesis in the expected and unexpected direction.] (2) Agreement in effect size [Comment: intra-class correlation of samples across effects + heterogeneity of effect sizes using Cochran's Q and I2 statistics],FALSE,NA,2,FALSE,NA,FALSE,NA,TRUE,"""The replication sites included in this project cannot capture all possible cultural variation,and most societies sampled were relatively Western,Educated, Industrialized, Rich, and Democratic (WEIRD)"" (p.151); All replication studies were translated into the dominant language of the country of data collection"
Data Models Coefficients: The Case of United States Military Expenditure,2007,10.1080/07388940601102845,Joris Frese; Louise Townsin,Social Sciences and Humanities,Economics,"Many Phenomena, Many studies","""The purpose of this article is to demonstrate the obvious: that use of the “wrong” data leads one to obtain improper results. Even if one employs the “right” (or at least “better”) data, one can obtain results that are inconsistent when the sample is varied."" (p.55)",FALSE,NA,Different data - same analysis,(1) Agreement in statistical significance (2) Agreement in effect size,FALSE,NA,2,FALSE,NA,FALSE,NA,FALSE,NA
Emulation of Randomized Clinical Trials With Nonrandomized Database Analyses: Results of 32 Clinical Trials,2023,10.1001/jama.2023.4221,Helena Hartmann; Rachel Heyard,Life Sciences,Medicine; Clinical trials,"Many Phenomena, One Study",To emulate the design of 30 completed and 2 ongoing randomized clinical trials (RCTs) of medications with database studies using observational analogues of the RCT design parameters (population intervention comparator outcome time [PICOT]) and to quantify agreement in RCT-database study pairs,TRUE [Comment: Emulation],"We aimed to emulate RCT designs under the best possible circumstances by identifying and implementing observational analogues of RCT design parameters that define the research question (population, intervention, comparator, outcome, time-frame [PICOT]11), apply confounding adjustment methods, and then compare the results of RCT–database study pairs",Different data - same analysis,"(1) Agreement in statistical significance [Comment: full statistical significance agreement, defined by estimates and CIs on the same side of the null] (2) Agreement in effect size [Comment: estimate agreement, defined by whether estimates for the trial emulation fell within the 95% CI for the trial results] (3) Agreement in effect size [Comment: standardized difference agreement between treatment effect estimates from trials and emulations, defined by standardized differences |z|<1.96]",TRUE,partial significance agreement was defined as meeting the prespecified noninferiority criteria even though the database study may have indicated superiority,4,FALSE,NA,TRUE,"Second, apparent agreement between RCT and database study results could occur if the effects of multiple factors (chance, emulation differences, bias) cancel each other out.",FALSE,NA
Registered Replication Report: Rand Greene and Nowak (2012),2017,10.1177/1745691617693624,Helena Hartmann; Rachel Heyard,Social Sciences and Humanities,Economics,"One Phenomenon, Many Studies",assessed the size and variability of the effect of time pressure on cooperative decisions by combining 21 separate preregistered replications of the critical conditions from Study 7 of the original article (Rand et al. 2012),FALSE,NA,Different data - same analysis,"(1) Agreement in effect size [Comment: estimate the effect size meta-analytically across studies, and compare it with the original.]",FALSE,NA,1,FALSE,NA,FALSE,NA,FALSE,NA
The challenge of mapping the human connectome based on diffusion tractography,2017,10.1038/s41467-017-01285-x,Helena Hartmann; Rachel Heyard,Life Sciences,Neuroscience; Medical imaging,"One Phenomenon, Many Studies","systematically validate tractography studies, to assess how well the algorithms were able to reproduce the known connectivity, our study is mainly about accuracy with respect to the reference, rather than reproducibility or robustness of tractography.",FALSE,NA,Same data - different analysis,None of the above,TRUE,"Comparison of final results, as counts, proportions compared to ground truth (instead of original)",1,FALSE,NA,FALSE,NA,FALSE,NA
Many Labs 2: Investigating Variation in Replicability Across Samples and Settings,2018,10.1177/2515245918810225,Joris Frese; Rachel Heyard,Social Sciences and Humanities,Psychology,"Many Phenomena, Many studies","""We conducted preregistered replications of 28 classic and contemporary published findings, with protocols that were  peer reviewed in advance, to examine variation in effect magnitudes across samples and settings"" (Abstract)",FALSE,NA,Different data - same analysis,"(1) Agreement in statistical significance [Comment: Significance criterion with alpha 0.05 and 0.001, and alpha 0.05 combined with different sample sizes] (2) Agreement in effect size",FALSE,NA,2,FALSE,NA,FALSE,NA,TRUE,"""Exploratory comparisons revealed little heterogeneity between Western, educated, industrialized,  rich, and democratic (WEIRD) cultures and less WEIRD cultures (i.e., cultures with relatively high and low WEIRDness  scores, respectively)."" (Abstract)"
The Brazilian Reproducibility Initiative,2019,10.7554/eLife.41602,Helena Hartmann; Rachel Heyard,Life Sciences,Biomedical Science [Comment: Published by researchers based in Brazil],"Many Phenomena, Many studies","to estimate the level of reproducibility of biomedical science in Brazil, and to investigate what aspects of the published literature might help to predict whether a finding is reproducible.",FALSE,NA,Different data - same analysis,(1) Agreement in statistical significance [Comment: the statistical significance of the pooled replication studies] (2) Meta-analysis of original and replication study/studies [Comment: the significance of the effect in a meta-analysis including the original result and replication attempts] (3) Agreement in effect size [Comment: statistical comparison between the pooled effect sizes of the replications and the original result.],TRUE,the primary outcome of our analysis will be the percentage of original studies with effect sizes falling within the 95% prediction interval of a meta-analysis of the three replications.,3,FALSE,NA,TRUE,"(1) Reproducibility of the general conclusions on the existence of an effect (e.g. two results finding a statistically significant difference in the same direction) might not be accompanied by reproducibility of the effect size; conversely, studies with effect sizes that are similar to each other might have different outcomes in significance tests. Moreover, if non-replication occurs, it is hard to judge whether the original study or the replication is closer to the true result. [Comment: Significance and effect size, referencing 10.1177/0956797614567341](2) if inter-laboratory variability is high, prediction intervals can be wide, leading a large amount of results to be considered “reproducible”. Thus, replication estimates obtained by these methods are likely to be optimistic. On the other hand, failed replications will be more likely to reflect true biases, errors or deficiencies in the original experiments. [Comment: Primary outcome: referencing 10.1177/1745691616646366](3) incomplete reporting in the original study might increase inter-laboratory variation and artificially improve our primary outcome. [Comment: Primary outcome]",FALSE,NA
